Country,State,Year,Name Of The Coal Field,Type Of Coal,Depth Of The Reserve,Type Of Reserve,"Coal Reserved Quantity (UOM:t(Tonne)), Scaling Factor:1000000"
India,Jharkhand,"Financial Year (Apr - Mar), 2021",East Bokaro,Medium Coking,300-600,Proved,407
India,Jharkhand,"Financial Year (Apr - Mar), 2021",East Bokaro,Medium Coking,600-1200,Indicated,1394
India,Jharkhand,"Financial Year (Apr - Mar), 2021",East Bokaro,Medium Coking,600-1200,Inferred,786
India,Jharkhand,"Financial Year (Apr - Mar), 2021",East Bokaro,Medium Coking,600-1200,Proved,256
India,Jharkhand,"Financial Year (Apr - Mar), 2021",East Bokaro,Non-Coking,0-300,Indicated,57
India,Jharkhand,"Financial Year (Apr - Mar), 2021",East Bokaro,Non-Coking,0-300,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",East Bokaro,Non-Coking,0-300,Proved,95
India,Jharkhand,"Financial Year (Apr - Mar), 2021",East Bokaro,Non-Coking,300-600,Indicated,6
India,Jharkhand,"Financial Year (Apr - Mar), 2021",East Bokaro,Non-Coking,300-600,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",East Bokaro,Non-Coking,300-600,Proved,9
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Hutar,Non-Coking,0-300,Indicated,14
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Hutar,Non-Coking,0-300,Inferred,32
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Hutar,Non-Coking,0-300,Proved,191
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Hutar,Non-Coking,300-600,Indicated,12
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Hutar,Non-Coking,300-600,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Hutar,Non-Coking,300-600,Proved,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jharia,Medium Coking,0-600,Indicated,2
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jharia,Medium Coking,0-600,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jharia,Medium Coking,0-600,Proved,4345
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jharia,Medium Coking,600-1200,Indicated,802
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jharia,Medium Coking,600-1200,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jharia,Medium Coking,600-1200,Proved,1117
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jharia,Non-Coking,0-600,Indicated,445
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jharia,Non-Coking,0-600,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jharia,Non-Coking,0-600,Proved,5657
